,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2000-11-01,131063.59875438239,208532.41918141648,112616.3384031334,163708.26075039105,181973.17727877866,112799.45644332933,124082.5492323616,215780.86486033918,140631.61411666265,182466.26059570196,192753.4713806604,135814.90903681636,173180.6277440701,159422.3387302887,204100.6447678169,146464.8270648798,176158.629694253,130631.27545590365,,139409.4318965058,107409.70200994292,157710.1584132798,103341.3689880029,117292.71111849092,132347.39425354035,122961.40541997204,112501.56035156846,156247.08153374618,,141671.0310755416,137410.958406541,115750.46328206813,101967.95942853858,124383.10630146651,89768.58837012318,88610.28651972926,100559.23244210948,75528.53841610531,124838.95683956966,,174078.217490745,87912.76822367542,101772.61206735657,91438.58957994512,155197.63738584094,,84735.08234387031,108095.41233338231,117865.74163858707,95348.0926913616,110372.84170044312
2000-12-01,131982.01977068037,210882.3282885416,113345.33545757981,164987.74367744976,183408.39257689993,113169.29460208937,124947.53601633657,218743.8681459514,141266.79575615888,183276.36606424712,194716.46242884442,136697.89441026733,173538.66647538525,160131.61609659463,204883.6110016028,148316.05951663663,176687.30407160093,131578.61624679668,,141054.12149297577,108016.32314956003,158589.9569549998,103827.44537330444,117734.87085082648,132933.01130935704,123864.46278418256,112912.3606287685,156700.61877248297,,142770.00896009954,137753.84052297263,116839.35008430922,102418.83552097472,124974.413033908,90260.44126789761,89243.68145328488,101224.61404327303,76116.95713417366,125082.39796087833,,175351.9564264311,88340.43769129894,102484.61724135438,91874.57685480242,155973.64263218563,,85128.19483912944,107992.30183781874,118201.85541532525,95844.42697697208,110838.02150633256
2001-01-01,132906.86851669976,212870.2357459852,114011.9098880391,166214.95778765166,184751.6968807891,113390.10477004368,125764.89153712887,221421.26469897633,141885.37626999812,184123.91701738283,196685.2200692684,137331.71323667536,174335.38710631072,160858.78583515712,205539.28833590096,150001.33300229965,177179.48396103797,132498.23152913584,,142537.04483769133,108688.98287981052,159316.08590205762,104307.23493473117,118249.88893084433,133537.80500011274,124666.35061774096,113381.65397885116,157211.93148334345,,143848.68645303906,140178.04296304987,118179.47501562802,102922.4823361637,125515.9723377513,90841.98729444406,89820.19745396574,101704.5515880251,76832.90081418032,125477.03671849026,,176467.98520148554,88837.92960588603,103015.8050621994,92416.89736338829,156833.95987334708,,85565.69908763953,108054.23559450141,118715.09250655894,96181.19097119481,111269.6394874204
2001-02-01,133727.21028987315,214835.86773235817,114674.15229652077,167236.32520115704,186233.6024029048,113356.74013004452,126396.10991686617,223866.02753757962,142502.3963840538,184962.16160752822,198539.94970456246,137966.79469509967,175151.40564965937,161630.4133634593,206187.6383990571,151805.17210192498,177462.59015701408,133289.61767087245,,143864.07889799177,109275.73774281611,159976.13692811682,104745.91902312222,118710.68910877442,133988.8029083479,125563.14583681097,113753.38840758735,157645.08717307087,,144928.57177921056,144014.4178959887,119419.72250791923,103349.01988136985,126045.1705434306,91216.40079622243,90166.83011022536,101868.8725452219,77280.96387040796,125877.09811658307,,177394.7311682771,89291.79712581483,103383.23184714821,93042.75442872422,157536.5401983131,,85990.28016486873,108276.89150624971,119059.41559759605,96485.02702012057,111613.02594692698
2001-03-01,134572.4533480013,217048.3486464166,115366.43831694382,168157.53109738237,187705.45593666713,113135.78774560419,126912.06984775818,226275.7113832852,143122.3491504554,185750.77440305272,200420.26090875338,138655.25782593605,176303.3346844792,162470.8072206671,206768.2853113812,153502.95647695876,177632.62610324458,133965.46365667143,,145182.12794145686,109840.84586742055,160537.22189097115,105187.14511935024,119187.83232987246,134353.55458580874,126502.39922090156,114065.09837238956,158105.378361878,,146079.286256504,148911.89057937215,120581.03198725008,103700.5221967923,126574.23349191813,91497.62438037393,90379.07579288782,101867.47870429156,77618.96986794368,126427.79628470948,,178425.40176078762,89724.49795158627,103789.9434868198,93701.33207998487,158301.76681136186,,86358.1440096639,108733.9180308351,116662.32621858141,96678.88397445215,111931.91127180995
2001-04-01,135455.96760717945,219799.26842437845,116184.195547105,169119.30746843488,189260.70092255351,113006.33803662485,127364.15803959972,228765.36141048104,143752.61472825383,186522.060530865,202250.84065648844,139356.72456921136,178056.8850013398,163311.0200633105,207461.71358576778,155254.22462988656,177809.3030274542,134588.45438241595,,146609.54777755003,110333.6729076014,161292.4234886095,105660.57543526562,119514.61826808256,134623.18440289015,127445.94319977373,114312.77520307455,158507.1852333892,,147417.2390753275,152618.76834240116,121495.94590045139,103953.95997280988,127157.79530018855,91672.51605262076,90556.8558625955,101821.86214782331,77777.4560592888,126958.04278324688,,179616.12879054237,90112.50453038783,104313.17710491594,94269.69250926825,159031.45216946467,,86703.72344405505,109145.10351753153,113239.94891374663,96946.72188852046,112247.67734519858
2001-05-01,136433.22092228747,222555.8834900954,117079.88635530429,170181.49903655786,190795.67545531565,113049.80169338245,127912.60400831663,231337.57385699623,144392.3635036185,187188.8145972394,204077.78817949802,140191.5074641691,180058.53279532515,164205.46454613583,208464.0123478477,157208.93549276874,177909.7740084258,135276.66416548128,,148068.15368624823,110783.92306047394,162176.36240534575,106113.65801528563,119883.47931760871,134936.90094293005,128317.40175467746,114598.61336207842,158958.49911895065,,148840.56821893877,155690.48190202293,122589.64511097698,104204.89042261014,127760.66716083749,91992.86068675203,90876.34764046845,102023.30387945035,78087.58020452538,127476.90705071209,,180957.19164466267,90517.96278998656,104934.19499057201,94800.50560605433,159788.1627542842,,87006.56691373281,109746.8714463816,109698.26258806356,97253.36960470286,112590.26133986913
2001-06-01,137410.68102636395,225060.04022720899,118014.84315330937,171353.9030393319,192505.66970818862,113181.59317063932,128472.50927318422,234038.39381769256,145037.6520490447,187871.18374621336,205710.207653892,141071.24502877207,181989.58337566725,165072.83946240888,209602.85783754103,159300.90781416078,178077.94898848655,135963.8519819722,,149528.1106946397,111195.94597790664,163240.39967140782,106574.95619034843,120275.2646129169,135252.45015264093,129139.65630671236,114877.67688157952,159429.09939231927,,150308.63534550244,158269.87136850823,123796.48694225929,104463.2628142591,128396.5910979818,92356.79896482934,91215.43901634777,102380.78455310782,78402.01036664758,127862.86143562959,,182308.92929785667,90949.82023563718,105613.22648932767,95314.60997231274,160531.1752709557,,87307.0275156889,110056.88905701514,108806.77384369085,97644.51034500079,112927.52657024254
2001-07-01,138463.13806121534,227404.4963178127,119019.94891891077,172584.75249541094,194347.06627463363,113336.40809704266,129052.96577042357,236902.45171349865,145651.57966551473,188516.56787294094,207320.09251956918,141978.77340968497,183930.5245872622,165997.1108106289,210853.09635143992,161394.5690421725,178217.7644846097,136649.23580632915,,151059.26192225472,111591.6054046378,164384.0147305391,107071.26330986038,120755.10908521152,135553.65208119687,129983.26145477396,115145.13860049851,159980.07178403312,,151882.65968753133,160689.26660975322,125156.68821439671,104755.57453920483,129073.93954115012,92776.38547224987,91496.99082753433,102814.98933766213,78716.35419827054,128258.8201012624,,183619.25085718127,91380.62599313243,106306.98011781112,95818.60484245517,161238.51987904406,,87590.038707185,110353.33809176147,108779.59272973229,98040.23806785524,113303.81426097383
2001-08-01,139523.3528477608,229663.4148007539,120085.29354932373,173876.77366035708,196379.64110673018,113475.46741796397,129668.0640185806,240023.24178073148,146258.7200744466,189311.67353458158,208905.98862717624,143089.52773080883,186070.20873391515,166939.8708194602,212072.70449506972,163307.08668804943,178489.91325792097,137345.25556666055,,152726.61067402866,112037.34056285858,165645.07250958087,107617.98206643871,121147.21330545154,135896.4263979479,130759.46166166477,115460.1186129701,160606.8531169803,,153764.8027265891,162440.19446524553,126323.08839626789,105015.50569116371,129787.29274276904,93125.71467502973,91816.77951224329,103196.40488490107,79007.70815116425,128738.65161963028,,185315.59936776792,91761.05364297533,106943.35547511656,96291.39468316165,161987.71605410022,,87906.2056240709,110424.21659973163,108948.39381870751,98472.7802972879,113721.50354423228
